Date,ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax,soltotal,Site_Id,DHE,MeasStatus,LastUpdate
1993-01-01,0.09,38.2,55.3,72.3,50.7,0.37,4.64,2.72,J17WL,691.79,A,2024-11-19
1993-01-02,0.01,37.4,39.8,42.2,37.3,0.34,1.52,2.7,J17WL,692.08,A,2024-11-19
1993-01-03,0.19,42.3,47.6,52.8,47.4,0.16,0.95,1.73,J17WL,692.1,A,2024-11-19
1993-01-04,0.06,53.0,57.1,61.2,57.1,0.26,1.67,2.09,J17WL,692.04,A,2024-11-19
1993-01-05,0.0,43.1,53.0,62.9,40.0,1.1,10.12,7.47,J17WL,691.83,A,2024-11-19
1993-01-06,0.0,37.6,46.9,56.1,33.9,0.9,9.24,8.12,J17WL,691.7,A,2024-11-19
1993-01-07,0.23,39.7,46.5,53.3,41.5,0.54,5.96,4.75,J17WL,691.71,A,2024-11-19
1993-01-08,0.0,45.9,51.3,56.7,49.0,0.09,3.01,3.19,J17WL,691.7,A,2024-11-19
1993-01-09,0.0,51.6,56.8,62.0,54.9,0.07,3.55,3.23,J17WL,691.83,A,2024-11-19
1993-01-10,0.05,38.1,57.7,77.2,47.2,0.28,19.44,10.53,J17WL,691.54,A,2024-11-19
1993-01-11,0.02,36.2,39.3,42.3,32.2,0.8,3.22,4.28,J17WL,691.57,A,2024-11-19
1993-01-12,0.0,38.3,43.1,47.9,39.4,0.46,2.28,2.26,J17WL,691.56,A,2024-11-19
1993-01-13,0.0,43.4,57.3,71.2,39.0,1.33,19.21,9.98,J17WL,691.21,A,2024-11-19
1993-01-14,0.0,42.4,48.0,53.5,30.1,3.11,9.24,7.72,J17WL,691.27,A,2024-11-19
1993-01-15,0.0,46.3,49.1,51.8,36.2,3.41,6.48,4.63,J17WL,691.31,A,2024-11-19
1993-01-16,0.0,39.7,50.3,60.8,44.0,0.02,6.55,6.32,J17WL,691.32,A,2024-11-19
1993-01-17,0.0,41.2,55.3,69.4,45.7,0.11,15.23,14.17,J17WL,691.22,A,2024-11-19
1993-01-18,0.0,53.1,59.4,65.8,58.1,0.29,3.63,3.71,J17WL,691.24,A,2024-11-19
1993-01-19,0.39,46.8,59.6,72.4,53.9,0.46,9.11,5.46,J17WL,691.02,A,2024-11-19
1993-01-20,0.25,43.4,46.1,48.8,44.2,0.44,1.13,1.77,J17WL,691.22,A,2024-11-19
1993-01-21,0.0,40.7,55.2,69.7,42.5,0.73,15.73,14.31,J17WL,691.21,A,2024-11-19
1993-01-22,0.0,41.0,58.3,75.7,43.2,0.81,20.54,15.88,J17WL,691.02,A,2024-11-19
1993-01-23,0.0,42.3,59.1,75.9,49.2,0.67,19.88,16.08,J17WL,691.17,A,2024-11-19
1993-01-24,0.0,41.8,59.2,76.7,52.0,0.97,12.58,7.7,J17WL,691.08,A,2024-11-19
1993-01-25,0.0,35.7,46.8,58.0,21.9,2.79,13.49,16.34,J17WL,690.83,A,2024-11-19
1993-01-26,0.0,29.4,41.7,54.1,26.5,0.8,9.26,11.13,J17WL,690.79,A,2024-11-19
1993-01-27,0.0,29.9,46.0,62.1,27.2,0.98,14.74,15.83,J17WL,690.65,A,2024-11-19
1993-01-28,0.0,36.6,49.1,61.6,31.1,1.79,13.52,12.12,J17WL,690.63,A,2024-11-19
1993-01-29,0.06,48.5,54.5,60.6,49.5,0.65,6.2,3.96,J17WL,690.65,A,2024-11-19
1993-01-30,0.02,41.1,48.3,55.6,42.5,0.78,2.93,3.24,J17WL,690.76,A,2024-11-19
1993-01-31,0.0,35.2,46.3,57.4,36.0,0.47,8.28,8.94,J17WL,690.76,A,2024-11-19
1993-02-01,0.0,37.2,50.8,64.5,39.2,0.78,12.64,13.93,J17WL,690.56,A,2024-11-19
1993-02-02,0.0,45.0,55.1,65.3,43.8,1.59,12.03,10.4,J17WL,690.6,A,2024-11-19
1993-02-03,0.21,55.8,58.5,61.1,52.3,0.86,6.14,3.0,J17WL,690.47,A,2024-11-19
1993-02-04,0.21,55.7,58.9,62.2,56.4,0.69,2.97,2.27,J17WL,690.56,A,2024-11-19
1993-02-05,0.61,48.4,52.7,57.1,49.5,0.53,3.84,3.87,J17WL,690.63,A,2024-11-19
1993-02-06,0.01,34.5,43.5,52.5,40.5,0.32,4.52,4.44,J17WL,690.77,A,2024-11-19
1993-02-07,0.0,34.5,47.9,61.3,36.5,0.55,11.21,17.79,J17WL,690.82,A,2024-11-19
1993-02-08,0.0,34.8,50.0,65.2,38.6,0.39,13.3,16.86,J17WL,690.68,A,2024-11-19
1993-02-09,0.03,37.5,52.8,68.2,42.5,0.43,15.38,17.2,J17WL,690.51,A,2024-11-19
1993-02-10,0.61,51.5,58.8,66.1,56.2,0.56,5.55,3.49,J17WL,691.0,A,2024-11-19
1993-02-11,0.0,50.9,61.8,72.7,49.8,0.72,16.06,10.28,J17WL,691.38,A,2024-11-19
1993-02-12,0.0,40.6,55.0,69.4,36.6,1.86,17.35,18.49,J17WL,691.47,A,2024-11-19
1993-02-13,0.0,41.6,55.8,70.0,37.8,1.22,17.41,18.52,J17WL,691.66,A,2024-11-19
1993-02-14,0.0,50.8,61.3,71.8,53.1,1.29,11.76,9.63,J17WL,691.74,A,2024-11-19
1993-02-15,0.05,55.5,60.2,64.8,54.2,0.83,5.51,3.89,J17WL,691.85,A,2024-11-19
1993-02-16,0.0,43.7,62.9,82.2,52.4,1.5,24.05,14.04,J17WL,691.5,A,2024-11-19
1993-02-17,0.0,36.2,47.4,58.6,33.2,1.51,9.88,16.91,J17WL,691.36,A,2024-11-19
1993-02-18,0.0,35.6,45.0,54.3,29.6,1.85,8.53,14.64,J17WL,691.18,A,2024-11-19
1993-02-19,0.0,38.3,42.5,46.8,28.9,2.92,5.43,6.76,J17WL,691.26,A,2024-11-19
1993-02-20,0.0,44.0,49.8,55.6,44.7,1.02,4.66,4.71,J17WL,691.3,A,2024-11-19
1993-02-21,0.0,51.5,59.8,67.9,54.9,0.76,7.98,8.54,J17WL,691.39,A,2024-11-19
1993-02-22,0.0,45.8,63.6,81.4,38.4,1.11,31.51,19.83,J17WL,691.06,A,2024-11-19
1993-02-23,0.0,41.5,58.2,74.8,36.2,2.25,23.37,16.15,J17WL,690.86,A,2024-11-19
1993-02-24,0.0,42.7,58.2,73.6,45.8,2.09,18.59,14.11,J17WL,690.76,A,2024-11-19
1993-02-25,0.21,58.2,65.2,72.2,59.6,1.43,11.61,5.75,J17WL,690.71,A,2024-11-19
1993-02-26,0.0,41.5,58.7,75.8,44.2,1.17,21.89,12.58,J17WL,690.53,A,2024-11-19
1993-02-27,0.0,40.7,52.8,65.0,33.9,2.76,14.06,18.42,J17WL,690.65,A,2024-11-19
1993-02-28,0.13,44.8,48.7,52.5,38.8,3.26,5.29,6.47,J17WL,690.8,A,2024-11-19
1993-03-01,0.63,48.2,52.0,55.7,48.2,0.24,4.16,3.29,J17WL,690.94,A,2024-11-19
1993-03-02,0.04,50.9,57.3,63.7,54.2,0.06,4.96,4.15,J17WL,690.95,A,2024-11-19
1993-03-03,0.0,43.7,58.2,72.7,41.6,1.11,20.02,15.99,J17WL,690.95,A,2024-11-19
1993-03-04,0.0,40.3,56.4,72.6,37.4,1.27,20.49,20.54,J17WL,690.83,A,2024-11-19
1993-03-05,0.0,40.5,55.4,70.4,36.2,1.5,19.53,21.58,J17WL,690.77,A,2024-11-19
1993-03-06,0.0,37.8,51.9,66.0,36.8,0.88,14.55,16.76,J17WL,690.8,A,2024-11-19
1993-03-07,0.0,36.3,54.6,73.0,34.6,1.12,21.77,22.12,J17WL,690.66,A,2024-11-19
1993-03-08,0.0,41.5,59.0,76.5,35.8,1.65,25.15,22.46,J17WL,690.5,A,2024-11-19
1993-03-09,0.0,42.1,62.0,81.8,39.9,1.6,29.73,22.53,J17WL,690.11,A,2024-11-19
1993-03-10,0.0,46.2,65.8,85.5,49.3,0.38,31.88,22.14,J17WL,689.97,A,2024-11-19
1993-03-11,0.0,50.4,65.5,80.6,47.4,0.56,21.97,19.32,J17WL,689.73,A,2024-11-19
1993-03-12,0.92,44.8,52.4,60.0,42.6,0.88,9.74,6.26,J17WL,689.91,A,2024-11-19
1993-03-13,0.0,30.8,37.6,44.4,29.7,0.92,4.89,5.33,J17WL,690.05,A,2024-11-19
1993-03-14,0.0,28.2,40.4,52.6,17.1,1.32,11.03,22.78,J17WL,690.24,A,2024-11-19
1993-03-15,0.04,28.5,43.8,59.0,32.9,1.2,11.77,18.43,J17WL,690.44,A,2024-11-19
1993-03-16,0.05,52.2,57.7,63.3,56.7,0.45,3.25,4.09,J17WL,690.65,A,2024-11-19
1993-03-17,0.0,57.5,68.3,79.1,57.6,1.19,15.81,15.61,J17WL,690.4,A,2024-11-19
1993-03-18,0.0,52.1,60.8,69.4,50.5,1.38,11.67,18.24,J17WL,690.31,A,2024-11-19
1993-03-19,0.0,53.1,63.3,73.5,54.7,1.25,14.3,13.38,J17WL,690.35,A,2024-11-19
1993-03-20,0.06,57.0,64.4,71.8,58.0,0.86,9.99,7.42,J17WL,690.37,A,2024-11-19
1993-03-21,0.0,53.9,62.5,71.2,52.4,1.48,12.34,18.93,J17WL,690.47,A,2024-11-19
1993-03-22,0.0,55.9,62.3,68.8,55.6,1.48,9.39,7.77,J17WL,690.32,A,2024-11-19
1993-03-23,0.2,57.4,64.2,71.1,57.6,1.28,6.33,4.58,J17WL,690.16,A,2024-11-19
1993-03-24,0.0,57.2,65.5,73.9,52.0,1.73,15.99,20.37,J17WL,689.9,A,2024-11-19
1993-03-25,0.05,59.8,67.8,75.8,62.4,0.89,10.84,10.06,J17WL,689.83,A,2024-11-19
1993-03-26,0.07,55.6,70.6,85.5,57.9,1.2,25.53,17.85,J17WL,689.64,A,2024-11-19
1993-03-27,0.0,56.3,66.8,77.2,52.1,2.62,17.94,23.15,J17WL,689.6,A,2024-11-19
1993-03-28,0.04,60.3,66.0,71.6,57.9,1.62,13.25,10.4,J17WL,689.71,A,2024-11-19
1993-03-29,0.0,64.0,69.3,74.6,63.9,1.04,7.17,7.75,J17WL,689.75,A,2024-11-19
1993-03-30,0.33,61.5,71.6,81.6,64.1,1.13,16.46,17.45,J17WL,689.62,A,2024-11-19
1993-03-31,0.0,54.4,68.7,82.9,45.8,2.21,31.07,24.15,J17WL,689.5,A,2024-11-19
1993-04-01,0.0,48.6,62.8,77.0,43.5,2.08,22.67,25.15,J17WL,689.41,A,2024-11-19
1993-04-02,0.0,48.8,62.4,76.0,40.2,2.63,23.11,25.45,J17WL,689.22,A,2024-11-19
1993-04-03,0.0,50.9,61.7,72.4,44.6,2.25,18.69,22.26,J17WL,689.33,A,2024-11-19
1993-04-04,0.3,56.4,63.2,70.0,60.4,0.49,6.17,5.36,J17WL,689.65,A,2024-11-19
1993-04-05,0.0,43.9,56.6,69.3,44.1,1.35,14.06,25.37,J17WL,689.58,A,2024-11-19
1993-04-06,0.0,45.6,57.3,69.0,47.3,0.58,12.92,25.5,J17WL,689.47,A,2024-11-19
1993-04-07,0.18,55.4,63.9,72.4,59.7,1.23,10.38,10.29,J17WL,689.41,A,2024-11-19
1993-04-08,0.61,56.9,66.4,75.9,56.6,1.05,14.38,12.45,J17WL,689.57,A,2024-11-19
1993-04-09,0.0,45.2,59.4,73.7,41.4,2.15,20.07,23.83,J17WL,689.69,A,2024-11-19
1993-04-10,0.0,45.9,63.4,80.9,36.9,2.34,30.14,26.82,J17WL,689.63,A,2024-11-19
1993-04-11,0.0,50.5,68.3,86.1,52.4,0.8,31.86,26.2,J17WL,689.4,A,2024-11-19
1993-04-12,0.0,63.2,75.1,86.9,63.1,1.45,24.03,22.65,J17WL,689.41,A,2024-11-19
