"Tract","Population","MedAge","MedIncome","PerCapIncome","PovertyRate","Bachelors","Masters","Professional","Doctorate","Education25Plus","Hispanic","RaceTotal","Black","HousingUnits","MedHomePrice"
"Tract:1807.01",4128,33.3,44422,35842,24,836,174,211,79,3076,1823,4128,186,2507,320400
"Tract:1718.02",5725,36.9,44865,19608,27.9,323,0,0,0,3812,5073,5725,0,2386,115700
"Tract:1603",5712,37,61743,23246,27.7,274,297,43,11,3758,4835,5712,479,2205,128600
"Tract:1816.02",5830,33.3,56875,28032,11.9,296,124,24,20,3924,5065,5830,197,2377,179200
"Tract:1605.01",4772,17.6,20984,11387,72.4,42,21,0,0,2019,4059,4772,510,1396,107600
"Tract:1817.18",5012,42,95144,38594,5.5,884,301,69,29,3649,2564,5012,73,1871,267700
"Tract:1708",1742,25.9,35227,15679,28,20,0,0,34,948,1536,1742,167,621,123700
"Tract:1615.03",5746,32.4,59464,23442,18.2,415,133,0,0,3378,5002,5746,54,1795,170100
"Tract:1602",2769,40.3,43547,26049,14.3,153,71,0,0,1931,2679,2769,1,1047,108300
"Tract:1218.12",6347,40.1,100668,37973,7.3,1235,495,150,75,4191,3034,6347,243,2410,282500
"Tract:1218.02",11518,31.3,94338,32719,7.5,1829,550,40,234,7149,6188,11518,2129,3757,249500
"Tract:1913.03",1704,53.1,96971,47753,5.3,232,141,49,6,1283,577,1704,30,846,386700
"Tract:1814.03",6680,30.7,51581,31061,23,574,278,135,135,3876,3706,6680,968,3909,192500
"Tract:1403",3211,35,47778,20571,27.8,86,103,0,19,1877,2943,3211,164,1237,176700
"Tract:1218.09",4672,39.7,77888,36196,7.8,850,325,35,19,3568,2223,4672,233,1910,242300
"Tract:1406",2778,32.9,71328,21327,25.6,130,40,0,0,1747,2514,2778,65,957,112400
"Tract:1818.13",7831,32.4,54124,35241,13.5,1362,521,159,66,5450,4203,7831,1161,4164,374000
"Tract:1719.12",6929,34.5,92147,37829,8.7,1316,417,84,17,4338,3822,6929,552,2514,273200
"Tract:1416",5035,35.6,74565,23965,10,239,74,0,5,3134,4678,5035,28,1415,170800
"Tract:1719.24",6745,34.8,75421,50381,3,1016,760,107,207,4566,3173,6745,1433,3384,376700
"Tract:1817.11",9453,38.4,84253,36769,10.4,1624,493,106,45,6556,5422,9453,716,3261,260400
"Tract:1720.05",9973,35.1,91940,46268,12.5,1722,806,184,133,6582,5579,9973,1274,4039,367800
"Tract:1720.08",5401,30.2,102917,46933,1.9,779,567,66,102,3063,2252,5401,558,2144,425700
